id_cliente,valor_compra,data_compra
39,861.81,2020-06-04
6,861.55,2022-04-08
3,861.32,2023-05-31
38,860.22,2020-03-11
29,859.39,2020-08-14
61,859.16,2023-01-27
48,857.57,2020-06-06
17,855.46,2023-01-26
72,855.12,2020-10-15
69,853.96,2020-11-24
21,853.25,2022-08-17
70,852.74,2020-03-30
76,852.27,2020-03-17
3,852.24,2022-07-21
86,851.28,2023-03-19
62,851.1,2021-01-10
46,850.92,2020-07-11
43,850.62,2020-05-11
14,850.22,2020-11-17
19,849.69,2023-10-20
54,849.37,2020-03-12
3,843.54,2020-07-08
10,842.87,2020-09-17
9,841.42,2023-02-25
98,840.91,2021-09-25
36,839.28,2023-10-30
35,837.26,2020-02-14
84,836.92,2020-06-21
91,836.65,2020-10-15
99,833.87,2021-12-26
32,833.64,2023-08-17
85,833.55,2022-12-17
32,833.2,2023-01-08
21,832.56,2022-02-20
12,830.27,2021-04-16
81,826.28,2023-07-17
6,826.2,2022-11-16
22,825.95,2023-12-21
60,821.69,2020-05-27
42,821.52,2021-05-28
100,821.24,2020-01-13
76,818.76,2021-07-10
66,818.37,2022-05-26
13,818.27,2023-09-06
5,818.04,2022-07-29
9,816.2,2023-06-22
24,814.42,2023-09-03
80,814.15,2023-10-09
52,813.13,2020-08-15
66,811.1,2022-03-15
86,810.53,2023-02-08
1,809.55,2023-03-25
42,809.48,2022-03-15
82,807.45,2023-01-01
42,807.0,2020-03-16
25,805.44,2021-08-30
83,803.72,2022-04-04
64,802.47,2023-01-07
73,802.09,2022-07-22
93,799.78,2022-12-04
53,797.19,2022-12-25
5,797.03,2023-08-09
70,796.92,2023-10-24
14,796.18,2020-12-10
84,796.12,2021-10-07
53,796.05,2020-03-07
100,795.33,2021-12-21
96,793.58,2020-09-04
46,790.48,2023-05-01
63,789.52,2023-09-20
76,788.19,2022-03-11
70,787.79,2021-08-14
37,787.58,2020-06-26
17,787.38,2023-12-14
22,783.93,2020-01-15
24,782.85,2021-04-13
33,782.5,2022-08-21
88,782.1,2021-04-07
5,781.83,2022-01-24
51,777.81,2021-06-12
72,776.12,2021-04-24
84,773.18,2021-05-30
68,773.08,2021-01-21
61,772.37,2021-06-15
62,770.26,2021-04-16
96,769.4,2022-07-11
60,769.29,2023-06-21
13,768.04,2022-08-02
45,767.29,2023-10-25
96,764.32,2020-02-16
53,761.88,2023-07-19
64,760.55,2023-01-04
24,760.3,2023-06-16
36,759.08,2023-10-22
96,759.06,2022-11-07
38,757.29,2021-12-21
55,756.85,2022-07-19
81,756.57,2022-07-01
87,756.46,2022-12-22
90,755.41,2021-03-13
97,753.51,2023-06-08
66,751.89,2020-05-11
61,751.81,2022-07-19
4,750.63,2022-07-05
34,749.82,2023-02-22
48,748.46,2020-04-26
98,747.83,2021-02-20
61,744.37,2020-10-06
65,744.02,2020-10-25
47,743.53,2023-05-07
4,742.67,2020-05-07
81,742.27,2022-05-03
32,741.14,2022-05-20
46,740.67,2023-04-04
99,739.51,2023-08-21
32,739.43,2021-11-26
84,738.41,2022-12-13
96,736.12,2021-01-16
55,734.94,2023-01-23
28,734.32,2023-03-20
45,734.23,2023-04-23
68,732.54,2022-04-28
91,731.18,2022-08-29
46,729.53,2023-02-10
61,727.57,2021-01-08
5,724.22,2022-01-23
55,724.18,2021-06-23
97,723.64,2023-11-04
18,723.29,2022-10-31
2,722.93,2023-01-04
49,721.53,2021-02-17
32,720.98,2020-11-29
24,720.67,2023-04-19
77,719.68,2021-06-01
66,717.89,2022-05-09
75,717.59,2021-08-10
61,717.15,2022-01-05
27,716.66,2020-11-09
44,714.66,2022-09-10
77,710.88,2023-02-08
97,708.53,2022-01-01
16,707.15,2023-11-28
59,706.71,2020-08-05
34,705.98,2023-07-15
58,705.47,2020-11-04
76,701.13,2020-03-01
29,699.69,2021-08-08
2,697.77,2023-05-10
68,695.98,2021-01-18
56,695.19,2023-08-29
68,693.88,2020-07-27
7,693.04,2020-11-26
51,691.4,2023-02-18
1,689.16,2023-01-29
46,688.05,2020-10-31
95,687.74,2021-07-06
41,686.55,2021-06-22
26,686.38,2020-04-11
8,686.33,2020-08-28
42,686.25,2020-10-01
32,686.19,2022-05-31
98,683.29,2022-04-19
68,680.44,2020-07-09
98,679.56,2020-12-26
58,675.99,2020-02-18
79,675.14,2021-07-09
65,674.63,2023-06-24
77,674.31,2023-05-30
8,673.82,2021-05-18
76,672.55,2022-04-08
98,671.5,2021-08-14
9,671.36,2020-08-03
3,669.63,2022-06-13
86,666.6,2021-02-09
79,665.91,2021-10-15
37,665.79,2021-02-06
100,665.42,2023-04-27
58,663.98,2020-02-03
39,661.01,2020-04-13
19,660.22,2020-09-01
34,659.16,2022-06-30
65,659.03,2022-11-11
92,657.71,2023-01-08
90,657.71,2021-04-09
52,657.3,2021-01-09
29,657.1,2023-06-25
20,656.32,2022-01-21
54,655.8,2023-11-09
7,653.89,2020-01-26
40,653.48,2023-02-27
31,653.41,2020-01-28
42,653.1,2023-12-05
32,651.55,2023-02-20
10,650.15,2020-04-03
68,649.53,2023-10-09
74,647.21,2020-02-20
33,647.12,2021-08-22
22,646.5,2020-06-07
74,646.31,2021-11-19
23,644.94,2022-05-21
73,644.23,2020-06-03
91,643.99,2020-02-21
92,642.92,2021-03-22
62,642.8,2022-02-19
26,642.12,2023-04-28
39,640.9,2020-01-02
52,638.57,2022-01-18
34,637.41,2022-01-21
75,635.9,2022-11-17
59,635.43,2023-12-17
65,634.75,2020-10-09
12,633.84,2021-10-26
2,633.25,2023-06-12
20,632.23,2022-12-14
90,631.97,2021-11-26
52,630.62,2021-06-01
36,629.77,2022-07-27
15,628.2,2022-02-02
66,625.65,2020-03-09
13,625.48,2020-06-06
74,623.86,2020-02-26
14,622.93,2020-07-19
37,622.65,2022-08-23
36,621.36,2022-01-28
71,620.83,2020-10-10
94,620.09,2023-03-31
34,619.95,2022-06-05
95,617.99,2020-06-24
16,616.89,2021-06-10
69,614.06,2020-02-15
15,612.38,2022-07-07
99,611.75,2023-06-21
75,611.54,2022-08-26
57,611.46,2020-12-29
19,610.77,2020-02-02
84,609.9,2022-11-03
93,607.74,2021-08-02
79,606.36,2021-06-02
29,604.29,2022-02-08
47,603.94,2022-04-01
58,603.55,2022-12-19
59,601.85,2022-04-27
82,600.83,2021-07-17
82,600.63,2020-06-03
38,598.95,2023-09-11
78,598.6,2023-08-04
86,598.09,2020-04-05
4,597.25,2022-07-25
16,596.87,2022-11-06
90,596.01,2020-12-27
54,595.03,2023-01-18
100,594.76,2022-07-30
49,594.48,2021-06-28
72,592.53,2021-07-23
23,591.72,2022-03-22
9,591.08,2020-03-15
89,588.71,2021-05-22
35,588.04,2023-04-17
85,586.39,2023-02-26
61,584.65,2021-11-19
51,584.03,2022-07-11
96,582.56,2021-06-08
52,582.32,2023-11-06
32,580.26,2023-11-01
65,579.49,2020-04-08
15,579.2,2020-04-30
49,577.44,2022-05-02
7,577.35,2023-04-19
99,576.85,2023-05-21
67,576.51,2021-07-20
37,572.32,2022-10-08
90,569.88,2021-05-28
50,569.59,2022-05-24
75,568.97,2020-05-19
56,568.44,2023-02-14
49,566.99,2022-10-17
75,566.01,2022-07-03
32,562.14,2020-02-02
37,561.39,2021-04-27
94,560.61,2020-07-08
60,559.98,2023-08-10
22,556.2,2021-12-25
2,554.81,2022-03-21
44,554.33,2021-03-30
11,552.42,2021-08-20
28,552.2,2020-04-02
100,550.57,2021-04-20
57,549.8,2021-05-25
9,549.45,2023-03-06
32,547.62,2022-12-31
91,546.39,2022-08-28
69,546.35,2021-01-27
95,544.63,2022-05-09
53,542.19,2021-10-03
24,542.09,2021-09-27
14,541.28,2023-05-11
67,540.74,2021-04-08
11,539.65,2021-06-02
16,538.44,2021-03-03
64,536.72,2023-12-25
97,536.61,2022-10-18
13,536.11,2022-02-19
2,533.29,2023-07-16
33,531.08,2023-09-17
35,530.6,2020-12-23
36,530.56,2020-12-02
39,530.3,2020-01-10
97,528.32,2023-09-15
35,527.97,2021-01-12
56,527.13,2021-09-23
19,526.37,2021-01-06
39,522.44,2021-08-13
32,522.2,2023-10-19
41,521.99,2023-10-21
99,516.26,2022-06-06
76,515.52,2020-11-06
91,513.42,2022-08-13
94,512.82,2022-08-09
18,512.81,2023-03-04
82,511.41,2022-04-04
29,510.49,2020-01-24
97,509.99,2023-01-03
95,509.11,2021-11-19
6,508.79,2020-01-26
95,508.28,2021-04-07
65,507.69,2022-06-12
94,507.56,2023-08-15
72,502.4,2021-10-11
11,500.75,2023-10-10
59,499.27,2022-05-20
17,498.62,2020-11-16
67,498.21,2022-11-29
84,496.53,2021-09-25
46,495.23,2023-02-20
33,494.29,2022-01-24
48,493.96,2023-04-21
87,493.36,2023-12-01
73,493.04,2023-08-23
15,491.49,2020-12-06
73,490.57,2020-04-22
67,490.12,2021-10-25
46,490.08,2020-01-24
56,489.2,2021-06-06
49,488.43,2023-04-08
15,487.53,2023-03-27
45,486.31,2023-03-09
77,484.13,2021-05-07
29,483.94,2022-04-18
26,483.14,2022-01-31
81,479.29,2023-09-12
89,479.22,2022-05-13
91,478.24,2021-09-26
50,477.37,2023-06-24
4,473.99,2023-01-16
25,472.97,2022-12-16
83,472.91,2021-09-11
55,472.18,2023-07-12
90,470.47,2021-10-19
49,469.99,2021-10-09
31,468.01,2023-07-27
46,467.71,2020-12-13
50,466.63,2021-12-30
84,466.35,2023-11-13
46,464.43,2022-01-02
25,464.42,2022-04-20
59,462.98,2023-07-08
10,461.95,2023-09-11
58,461.79,2022-05-19
62,461.63,2023-11-19
86,460.28,2021-02-13
88,459.06,2022-06-24
37,458.12,2020-08-22
68,458.02,2023-07-21
74,455.97,2023-08-09
42,455.93,2022-12-26
85,455.5,2023-11-20
11,454.92,2021-07-19
29,454.6,2022-01-18
41,454.11,2020-01-12
33,454.01,2023-10-05
42,453.91,2022-12-13
25,452.63,2021-01-09
58,451.04,2022-07-23
79,450.76,2023-11-03
26,448.5,2023-01-29
10,446.76,2021-04-17
66,445.37,2023-08-13
38,443.77,2023-02-11
90,443.13,2023-08-04
58,442.57,2022-03-24
26,441.26,2020-08-20
62,440.71,2021-10-13
1,440.15,2023-02-01
80,438.78,2022-05-16
98,438.55,2023-05-31
81,438.03,2022-06-27
45,436.92,2023-07-06
90,435.12,2022-01-02
81,434.77,2022-11-24
83,434.52,2022-05-05
60,434.21,2020-03-02
28,432.36,2022-02-19
58,432.11,2022-07-07
38,430.79,2022-04-23
94,430.67,2021-10-05
61,429.78,2022-02-12
50,428.37,2023-09-13
95,428.05,2021-10-21
24,427.94,2022-01-15
100,427.72,2022-01-04
11,427.64,2021-03-14
31,426.78,2023-05-05
7,426.46,2022-02-24
21,425.9,2023-06-03
87,425.71,2021-03-01
2,425.33,2023-12-10
76,425.04,2023-08-19
67,422.62,2022-04-13
96,422.39,2020-01-11
56,421.83,2021-11-02
95,421.08,2021-08-01
23,420.78,2022-08-25
66,419.98,2022-12-29
16,417.75,2021-11-28
55,416.75,2022-04-05
78,414.91,2023-10-28
12,414.73,2020-07-11
16,413.5,2020-12-04
94,411.33,2021-06-10
24,411.03,2022-10-19
32,409.67,2020-08-13
16,408.5,2022-12-16
80,406.49,2023-02-01
90,406.04,2022-06-13
86,405.66,2023-04-08
67,405.04,2023-11-03
45,403.95,2021-01-25
37,402.66,2020-10-11
48,401.8,2020-04-12
7,400.68,2022-07-16
61,398.71,2022-03-03
17,398.16,2022-10-01
6,396.83,2023-07-23
94,395.82,2020-08-07
37,395.6,2022-09-29
32,394.86,2021-12-10
88,392.99,2023-10-25
34,392.43,2020-02-19
96,391.61,2022-04-07
34,388.39,2021-03-23
81,386.52,2022-10-28
36,386.31,2023-08-27
20,385.34,2023-04-23
9,385.18,2023-02-08
76,384.93,2023-07-22
54,384.23,2022-02-21
28,379.12,2021-02-03
85,378.4,2021-11-18
25,378.32,2023-04-23
65,377.48,2020-05-09
50,377.34,2020-01-24
66,376.63,2023-09-05
7,375.28,2023-02-11
27,374.24,2020-04-09
71,372.45,2020-05-18
94,372.25,2023-06-01
38,371.35,2021-10-14
24,370.41,2023-04-06
12,370.35,2022-01-24
20,368.91,2020-05-26
94,366.28,2023-02-01
92,364.81,2020-12-20
61,362.68,2020-02-21
13,362.25,2022-10-14
31,362.13,2022-01-11
30,361.43,2022-09-19
87,359.05,2022-11-02
97,358.01,2021-01-15
34,357.76,2020-05-28
47,357.47,2020-05-14
95,357.06,2023-12-06
59,356.7,2020-04-15
53,354.1,2022-08-05
17,354.04,2022-01-16
67,353.48,2023-02-13
37,352.36,2022-10-09
24,351.81,2022-10-29
92,351.31,2022-07-22
49,350.65,2020-11-18
96,349.35,2023-05-18
93,349.34,2023-01-18
17,347.9,2023-06-16
100,345.48,2022-12-04
71,343.9,2023-10-08
19,342.99,2021-08-24
70,342.61,2023-10-05
16,342.55,2022-09-01
80,342.2,2020-07-14
8,340.98,2022-11-28
1,340.38,2022-11-07
78,339.5,2021-01-23
3,339.08,2023-08-13
76,337.46,2023-10-10
70,336.82,2021-07-16
90,335.03,2021-03-25
56,334.75,2023-08-13
84,334.67,2023-08-14
33,334.45,2020-01-22
54,333.91,2023-03-08
1,333.06,2023-03-19
28,332.38,2020-12-09
76,330.55,2021-04-04
81,329.66,2021-01-12
94,327.37,2020-02-28
21,326.9,2022-05-02
83,326.69,2023-03-30
11,324.18,2022-02-03
45,324.06,2022-08-03
71,322.47,2020-08-25
15,319.34,2021-07-30
24,318.64,2022-07-10
49,317.7,2021-06-21
47,317.55,2023-05-04
36,317.1,2022-05-17
100,317.01,2020-02-05
100,315.95,2020-02-01
77,314.95,2020-10-26
1,314.8,2022-11-20
39,314.03,2020-04-06
23,313.96,2023-03-31
13,313.25,2023-03-17
10,312.27,2023-08-15
3,310.8,2020-06-15
48,310.69,2020-12-19
87,309.82,2022-02-09
50,308.89,2022-04-27
31,306.64,2023-11-15
25,304.5,2022-11-18
85,304.07,2023-04-05
35,303.93,2023-02-10
66,303.06,2022-08-23
85,302.14,2021-10-18
40,297.5,2023-05-22
86,296.11,2021-07-28
86,296.07,2022-05-02
36,295.32,2021-11-20
17,293.8,2020-01-13
20,290.9,2023-09-04
73,288.37,2020-08-17
71,286.25,2023-05-16
65,283.34,2020-08-01
80,283.26,2022-02-23
62,282.06,2023-01-31
44,281.71,2021-07-29
53,280.48,2021-07-02
95,279.01,2020-03-19
11,278.55,2023-12-01
16,277.75,2020-02-26
21,277.62,2022-01-20
1,275.47,2023-05-07
56,274.48,2020-09-06
74,274.16,2021-08-05
99,273.59,2022-03-08
21,272.76,2020-03-02
30,272.66,2022-11-24
63,272.57,2020-06-13
72,272.02,2023-01-22
13,271.63,2020-04-26
86,270.57,2023-05-25
76,270.03,2020-01-15
57,269.87,2022-01-16
41,269.7,2022-02-05
6,268.2,2020-03-24
87,265.02,2021-11-07
72,264.69,2021-03-18
54,264.08,2023-07-14
13,262.97,2021-03-12
60,262.8,2021-07-07
79,262.72,2022-04-11
21,261.58,2022-11-22
54,261.41,2021-06-04
100,261.08,2023-09-18
23,260.83,2022-11-15
59,260.51,2020-02-13
16,258.9,2022-02-27
9,258.55,2023-11-19
77,258.32,2022-03-29
75,258.25,2023-01-29
65,258.14,2020-07-24
78,257.2,2022-01-10
32,256.23,2023-01-01
40,255.47,2021-02-18
90,255.28,2023-08-16
27,254.89,2020-04-25
19,252.66,2022-02-11
30,252.47,2020-03-22
33,249.12,2020-06-02
8,248.77,2023-11-20
74,248.17,2023-08-22
73,247.52,2020-12-29
47,247.01,2021-03-08
81,246.09,2023-03-25
76,244.75,2022-03-25
48,244.1,2020-10-19
11,244.02,2022-08-05
84,242.57,2020-05-08
86,241.99,2023-04-21
5,241.88,2023-02-08
43,241.52,2022-11-14
80,241.29,2022-04-04
65,241.23,2020-03-03
87,240.74,2021-07-15
56,239.34,2023-04-09
58,238.91,2021-07-26
86,238.04,2023-10-22
11,238.03,2020-12-12
41,237.78,2020-09-19
6,236.5,2021-02-22
47,236.32,2021-03-05
90,235.41,2020-08-03
6,235.3,2020-08-28
36,235.28,2021-09-10
79,235.19,2020-05-04
39,233.58,2021-09-23
42,232.69,2023-01-12
59,232.47,2023-06-09
33,232.31,2020-06-04
14,231.72,2023-01-13
38,231.3,2023-08-28
66,229.62,2023-05-17
86,228.72,2022-06-24
68,227.28,2022-02-22
6,226.92,2021-06-17
38,226.77,2020-02-21
91,222.31,2020-07-13
37,221.96,2023-08-15
30,220.82,2020-01-25
25,220.4,2020-04-08
49,216.17,2022-01-13
19,216.03,2022-08-21
96,214.21,2020-06-27
38,212.31,2022-07-01
21,211.13,2023-12-16
75,207.43,2021-01-02
58,206.94,2020-09-01
42,205.93,2020-04-29
5,205.63,2020-11-17
66,203.29,2021-01-10
18,202.22,2020-09-12
96,202.07,2022-12-09
6,201.99,2021-04-16
68,201.42,2020-09-26
13,198.83,2022-03-11
37,198.78,2020-08-29
62,196.16,2020-01-22
44,195.52,2023-03-11
70,195.28,2021-07-23
31,194.59,2021-01-10
1,193.91,2022-07-27
28,193.57,2023-11-04
80,193.14,2022-05-10
99,192.34,2020-05-12
93,192.22,2020-02-21
99,191.84,2020-10-16
84,190.51,2022-05-28
53,190.03,2023-08-14
8,189.84,2021-12-19
90,186.32,2020-07-05
37,183.96,2020-11-29
33,183.03,2021-08-15
2,181.92,2020-05-03
3,178.34,2023-08-14
41,177.95,2022-06-29
57,177.61,2020-03-31
17,177.3,2022-04-24
16,176.01,2021-12-03
38,175.95,2023-06-02
99,175.63,2023-07-26
6,175.26,2020-02-11
17,174.96,2020-05-30
40,173.74,2020-06-19
68,173.05,2020-01-08
44,172.3,2020-10-09
64,170.58,2021-04-14
48,169.84,2023-09-12
27,169.57,2022-08-02
22,169.06,2021-09-27
17,169.05,2020-09-13
50,167.69,2022-12-19
63,167.11,2023-06-13
47,167.1,2023-01-23
49,167.06,2021-06-30
1,165.84,2021-04-05
16,164.06,2021-08-04
11,163.96,2021-09-23
74,163.53,2021-02-17
56,163.01,2021-10-09
64,162.59,2020-08-19
96,160.46,2023-04-26
5,160.35,2022-06-06
99,160.24,2021-06-18
7,158.03,2021-10-07
29,157.08,2022-08-07
48,156.79,2020-08-19
28,156.34,2023-06-27
47,152.27,2020-10-12
47,150.69,2020-09-16
61,149.94,2023-10-02
66,149.62,2021-05-24
99,148.65,2023-10-11
22,147.19,2023-02-05
98,146.18,2022-05-31
97,144.14,2021-09-06
85,144.07,2021-04-20
49,141.36,2021-08-13
87,141.36,2022-11-08
87,141.12,2021-01-21
13,140.71,2020-10-15
53,139.22,2022-10-27
41,138.86,2023-05-31
100,137.02,2023-04-03
18,135.98,2022-07-23
55,135.72,2021-10-05
55,134.79,2021-08-11
46,134.4,2021-09-25
12,133.74,2023-01-24
76,133.14,2022-04-28
99,132.27,2020-05-26
52,131.63,2022-10-06
97,131.03,2023-03-25
58,129.39,2020-12-31
77,128.96,2023-09-06
39,128.59,2022-01-12
85,127.53,2020-05-02
85,127.33,2023-08-25
93,125.79,2020-08-22
65,125.08,2020-10-13
40,124.41,2020-12-07
72,123.76,2022-10-02
35,123.3,2021-10-01
51,122.23,2020-03-10
83,120.75,2020-05-17
24,115.72,2020-05-18
23,115.17,2022-08-09
99,113.73,2021-10-14
56,112.82,2021-04-01
10,108.4,2021-10-02
82,105.87,2023-12-30
62,105.16,2022-10-16
56,104.28,2022-03-06
63,103.32,2023-03-05
33,102.56,2021-06-03
11,102.37,2022-01-17
42,102.13,2020-04-25
50,101.69,2020-07-10
27,99.84,2021-04-08
33,97.24,2021-09-12
59,97.09,2021-01-13
64,96.83,2021-01-17
22,96.82,2021-02-20
56,94.7,2020-04-13
75,94.54,2020-07-14
29,94.31,2022-09-20
67,94.18,2021-07-15
2,92.56,2023-01-06
9,91.1,2023-08-01
15,90.71,2023-11-04
19,90.23,2023-09-22
29,90.13,2021-08-17
31,90.01,2022-05-02
15,88.62,2020-06-05
90,86.89,2023-09-03
90,86.55,2022-08-10
71,86.44,2022-04-21
56,85.39,2023-02-06
43,83.8,2023-03-25
37,83.56,2022-09-24
12,82.64,2023-10-21
90,81.41,2023-09-23
17,81.13,2021-09-28
88,81.06,2020-08-04
64,80.98,2022-02-21
52,79.98,2020-09-22
98,77.81,2021-07-09
53,76.88,2020-02-13
21,76.86,2022-08-06
22,75.71,2023-02-22
50,75.32,2022-08-02
40,74.92,2020-04-21
23,74.76,2020-07-09
99,74.37,2023-07-24
85,74.14,2021-02-11
5,72.35,2021-05-30
17,72.01,2020-05-02
95,71.17,2020-07-25
13,70.23,2020-02-17
29,69.73,2023-11-14
23,69.32,2022-06-09
90,68.25,2020-03-26
21,67.8,2021-01-04
86,67.39,2023-08-20
33,65.15,2022-06-17
81,64.93,2020-09-20
81,64.31,2020-03-07
63,63.84,2020-06-06
90,63.41,2021-03-22
24,62.58,2020-07-26
4,61.92,2022-06-11
21,61.76,2023-12-26
5,60.96,2020-09-06
70,60.61,2021-06-18
84,58.05,2020-03-01
56,57.38,2020-11-06
62,56.89,2021-10-14
30,56.68,2021-10-05
45,56.34,2022-01-21
94,56.14,2023-06-24
65,56.04,2022-07-01
43,55.88,2023-12-01
75,55.19,2021-05-31
5,55.12,2020-01-16
3,54.83,2021-12-17
18,54.39,2021-12-15
34,54.19,2022-02-22
15,53.04,2020-09-21
59,51.89,2020-08-28
6,50.44,2023-02-26
66,44.93,2023-10-29
67,44.44,2020-12-17
98,43.38,2022-08-05
75,39.83,2023-03-09
13,39.63,2023-02-06
54,38.34,2023-05-18
60,37.48,2022-12-20
100,36.62,2022-06-23
32,36.45,2022-12-03
52,36.22,2022-12-27
11,35.85,2023-07-30
26,35.35,2023-10-22
88,34.99,2021-10-20
66,31.29,2020-03-28
4,29.65,2020-04-09
11,28.65,2021-06-13
48,27.87,2022-08-12
16,27.59,2020-10-27
29,26.54,2020-06-17
80,26.38,2021-03-29
51,26.27,2022-10-05
25,25.06,2020-08-05
14,21.84,2023-09-10
71,21.08,2022-03-01
70,20.36,2020-05-08
23,20.35,2020-09-08
93,20.29,2022-10-06
61,19.99,2023-03-05
81,18.58,2022-12-23
70,18.18,2022-07-25
93,16.82,2022-06-16
19,16.44,2022-04-02
83,15.38,2022-05-13
67,15.05,2023-07-04
18,14.17,2021-01-18
56,12.02,2023-02-02
91,11.66,2023-11-17
